epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2653.62,0.58341,0.94949,3.70072,0.00488,1.66136,0.54257,0.20225,0.21637,0.20279,0.54165,0.20303,0.21637,0.20209,0.42793,0.67104,2.67778,0.00588,0,0.00999819,0.00333273,0.00999819,0.00333273,0.00999819,0.00333273,0.00999819,0.00333273
2,4614.1,0.59525,0.76055,2.18751,0.00505,0.09208,0.50561,0.27704,0.31426,0.2907,0.50533,0.2774,0.31516,0.29172,0.44041,0.64563,1.94793,0.00614,0,0.0196022,0.00653407,0.0196022,0.00653407,0.0196022,0.00653407,0.0196022,0.00653407
3,6474.49,0.65503,0.76652,1.70939,0.00564,0.07632,0.56011,0.30823,0.3487,0.3148,0.55994,0.30875,0.34999,0.31814,0.48098,0.66525,1.44976,0.00681,0,0.0288103,0.00960342,0.0288103,0.00960342,0.0288103,0.00960342,0.0288103,0.00960342
4,8324.58,0.66293,0.76912,1.29466,0.0058,0.06651,0.65827,0.31803,0.3721,0.33911,0.65883,0.31832,0.37354,0.34049,0.46408,0.65206,0.9248,0.00669,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,10177.1,0.6337,0.74745,1.04019,0.00552,0.05773,0.70053,0.34576,0.3952,0.36085,0.70227,0.3468,0.39695,0.3632,0.44281,0.63008,0.76107,0.00637,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,12031.6,0.60638,0.71989,0.93443,0.00529,0.05264,0.74159,0.35163,0.41001,0.37367,0.74223,0.35221,0.41088,0.37213,0.4358,0.62941,0.71578,0.00623,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,13884.6,0.58781,0.70842,0.86175,0.00511,0.04876,0.71953,0.38388,0.43712,0.39813,0.72458,0.38484,0.43954,0.39858,0.42069,0.60455,0.69962,0.00601,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,15739.4,0.57668,0.70201,0.82597,0.00499,0.04637,0.74772,0.38737,0.45196,0.41057,0.74878,0.38925,0.45495,0.41059,0.41566,0.59478,0.64008,0.00593,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,17592.4,0.56452,0.69013,0.80122,0.0049,0.04455,0.74261,0.39215,0.45608,0.417,0.74266,0.39252,0.45624,0.41548,0.40319,0.58241,0.64402,0.00573,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,19446,0.55238,0.67139,0.76408,0.00479,0.0422,0.72592,0.41867,0.48038,0.43722,0.72658,0.41921,0.48366,0.43657,0.39873,0.58302,0.61092,0.00565,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,21298.6,0.54113,0.66963,0.74476,0.00467,0.04091,0.75297,0.42307,0.47693,0.43585,0.75488,0.42335,0.47847,0.43499,0.38999,0.57226,0.60168,0.0055,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,23152.5,0.53643,0.66741,0.72655,0.0046,0.03963,0.74175,0.43278,0.48679,0.44537,0.74239,0.4361,0.48998,0.44533,0.38524,0.56653,0.56612,0.00544,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,25019.3,0.53246,0.65307,0.70834,0.0046,0.03876,0.70432,0.45048,0.49174,0.45003,0.70508,0.45015,0.49279,0.4474,0.3808,0.56166,0.5624,0.00536,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,27081.8,0.52538,0.64269,0.68168,0.00448,0.03765,0.8314,0.41904,0.49983,0.45882,0.83169,0.41929,0.50112,0.45731,0.37421,0.55628,0.54613,0.00528,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2536.56,0.52026,0.64061,0.67467,0.00442,0.03694,0.7334,0.47052,0.51222,0.46841,0.73393,0.47157,0.51393,0.46708,0.37003,0.55067,0.54309,0.00521,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,4831.89,0.51166,0.63141,0.66088,0.00438,0.03615,0.78283,0.45822,0.50844,0.46531,0.77942,0.4591,0.50872,0.46499,0.36722,0.54866,0.53729,0.00516,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,6728.34,0.5105,0.62677,0.6525,0.00435,0.03544,0.75744,0.46683,0.51737,0.47418,0.75883,0.46876,0.51875,0.47162,0.35961,0.54485,0.52749,0.00504,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,8598.41,0.50193,0.62229,0.64517,0.00428,0.03498,0.74432,0.47437,0.51903,0.47477,0.74481,0.47402,0.52019,0.47284,0.35618,0.54154,0.52055,0.00497,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,10476.2,0.49947,0.62181,0.62885,0.00423,0.03455,0.73681,0.48106,0.52264,0.47909,0.74821,0.4747,0.52203,0.47689,0.35359,0.53398,0.51619,0.00493,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,12344,0.49195,0.60893,0.61778,0.00415,0.03418,0.73803,0.48456,0.52816,0.48224,0.73938,0.48591,0.5307,0.48181,0.35392,0.53443,0.50385,0.00494,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,14214.4,0.48762,0.60767,0.60828,0.00411,0.03355,0.73205,0.49283,0.53488,0.488,0.74206,0.49179,0.53581,0.48639,0.34754,0.53237,0.50058,0.00484,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,16078.9,0.4866,0.60928,0.60067,0.00411,0.03331,0.74663,0.49822,0.53626,0.49228,0.7464,0.49783,0.53618,0.48957,0.3455,0.53085,0.49191,0.00481,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
